1,  EXT TOMMYS DINER  DAY  ESTABLISHING,186
2,  INT TOMMYS DINER  CONTINUOUS  CLOSE ON A RADIO,183
3,  EXT TOMMYS DINER  MOMENTS LATER  MOVING WITH BRUCE,97
4,  INT MURANO  VISION,19
5,  RESUME  EXT PARKING LOT  ON JOHNNY,73
6,  EXT HIGHWAY  DAY  ESTABLISHING,6
7,  INT MURANO  CONTINUOUS  ON BRUCE,256
8,  EXT HIGHWAY  SAME TIME  MOVING THROUGH,169
9,  EXT RECREATIONAL VEHICLE  MOMENTS LATER,6
10,  AAINT RECREATIONAL VEHICLE  CONTINUOUS,59
11,  INT RECREATIONAL VEHICLE  MOMENTS LATER,191
12,  EXT HIGHWAY  CONTINUOUS,306
13,  EXT DIRT ROAD  MORNING  VISION,89
14,  EXT HIGHWAY  CONTINUOUS  MOVING,126
15,  EXT CEMETERY  DAY  VISION,412
16,  INT RECREATIONAL VEHICLE  MOMENTS LATER,49
17,  AAEXT RECREATIONAL VEHICLE  CONTINUOUS,111
18,  INT FARM TRUCK  VISION  CONTINUOUS,18
19,  EXT HIGHWAY  VISION  DAY,84
20,  EXT HIGHWAY  DAY,60
21,    INTEXT RECREATIONAL VEHICLE  CONTINUOUS,54
22,  EXT HIGHWAY  SAME TIME  MOVING WITH JOHNNY,117
23,  INT RECREATIONAL VEHICLE  CONTINUOUS,41
24,  AAEXT HIGHWAY  ESTABLISHING,7
25,  INT ICE CREAM TRUCK  CONTINUOUS,9
26,  EXT ICE CREAM TRUCK  CONTINUOUS,133
27,  INT MURANO  CONTINUOUS  VISION,112
28,  EXT HIGHWAY  DAY,64
29,    ADADINT POLICE CRUISER  VISION,31
30,  EXT ANOTHER SECTION OF HIGHWAY  SAME TIME,19
31,  INT POLICE CRUISER  THROUGH A REAR SIDE WINDOW,25
32,  INT POLICE CRUISER  CONTINUOUS,33
33,  EXT RECREATIONAL VEHICLE  SAME TIME,38
34,  INT POLICE CRUISER  MOMENTS LATER,61
35,  EXT HIGHWAY  SAME TIME,68
36,  EXT HIGHWAY  DAY  HIGH ABOVE,9
37,  INT POLICE CRUISER  CONTINUOUS,95
38,  AAINT MURANO  CONTINUOUS,18
39,  RESUME SCENE  INT POLICE CRUISER  DAY,48
40,  EXT POLICE CRUISER  CONTINUOUS,13
41,  INT POLICE CRUISER  CONTINUOUS,15
42,  EXT POLICE CRUISER  CONTINUOUS,91
43,  EXT HIGHWAY  LATER,81
44,  EXT HOSPITAL PARKING LOT  MOMENTS LATER,115
