1,      EXT CENTRAL CITY STREETS  DAY,209
2,      EXT CENTRAL CITY SQUARE  DAY,52
3,      EXT CENTRAL CITY  ALLEY  NIGHT,8
4,      EXT CENTRAL CITY STREETS  DAY,18
5,      EXT CENTRAL CITY BANK  DAY,48
6,      EXT CENTRAL CITY  STREETS  DAY,9
7,      EXT CENTRAL CITY BANK  DAY,117
8,EXT CENTRAL CITY STREETS  MOMENTS LATER ,74
9,      INT CENTRAL CITY POLICE DEPARTMENT  BULLPEN  DAY,58
10,      INT CENTRAL CITY POLICE DEPARTMENT  BARRY S LAB  DAY,127
11,      INT CENTRAL CITY POLICE DEPARTMENT  BARRY S LAB  LATER,44
12,      EXT STAR LABS  NIGHT,115
13,      EXT THROUGH THE STREETS  NIGHT,5
14,      EXT CENTRAL CITY  ALLEY  NIGHT,32
15,      INT CENTRAL CITY POLICE DEPARTMENT  BOOKING  NIGHT,80
16,      EXT BROWN DAIRY FARM  NIGHT,16
17,      INT CENTRAL CITY POLICE DEPARTMENT  BARRY S LAB  NIGHT,7
18,      EXT BROWN DAIRY FARM  NIGHT,45
19,      INT CENTRAL CITY POLICE DEPARTMENT  BARRY S LAB  NIGHT,8
20,      EXT BROWN DAIRY FARM  NIGHT,6
21,      INT CENTRAL CITY POLICE DEPARTMENT  BARRY S LAB  NIGHT,5
22,      INT CENTRAL CITY ELEMENTARY  SCIENCE FAIR  DAY FLASHBACK,33
23,      INT CENTRAL CITY HOSPITAL  CORRIDOR  NIGHT,11
24,      INT ALLEN FAMILY HOME  LIVING ROOM  DAY FLASHBACK,31
25,      INT CENTRAL CITY HOSPITAL  EMERGENCY ROOM  NIGHT,63
26,      INT STAR LABS  THE CORTEX  DAY,105
27,      INT STAR LABS  HALLWAY  DAY,29
28,      INT STAR LABS  PARTICLE ACCELERATOR  DAYAA,37
29,      INT CENTRAL CITY HOSPITAL  BARRY S ROOM  DAY FLASHBACK,20
30,      INT STAR LABS  THE CORTEX  DAY,67
31,      INTEXT JITTERS COFFEE  DAY,70
32,INT CENTRAL CITY POLICE DEPARTMENT  BULLPEN  DAY ,91
33,      INT CENTRAL CITY POLICE DEPARTMENT  BARRY S LAB  DAY,60
34,      EXT CENTRAL CITY POLICE DEPARTMENT  ALLEY  DAY,14
35,      EXT CENTRAL CITY  ALLEYWAY  CONTINUOUS,9
36,      INT ALLEN FAMILY HOME  BARRY S ROOM  NIGHT FLASHBACK,21
37,      INT ALLEN FAMILY HOME  LIVING ROOM  NIGHT FLASHBACKBB,27
38,      EXT FERRIS AIR  TEST FIELD  DAY,159
39,      INT ALLEN FAMILY HOME  LIVING ROOM  NIGHT FLASHBACK,26
40,      EXT NEIGHBORHOOD STREET  A HALF SECOND LATER FLASHBACK,14
41,      EXT FERRIS AIR  TEST FIELD  PRESENT DAY,7
42,      INT GOLD CITY BANK  AT THAT VERY MOMENT,52
43,      INT GOLD CITY BANK  MINUTES LATER,17
44,      INT STAR LABS  THE CORTEX  DAY,62
45,      INT JITTERS  DAY,30
46,EXT CENTRAL CITY  VAN BUREN PARK  DAY   ,64
47,      EXT CENTRAL CITY  VAN BUREN STREET  CONTINUOUS,6
48,      INT GREEN CORVETTE  CONTINUOUS,6
49,      EXT CENTRAL CITY  VAN BUREN STREET  CONTINUOUS,24
50,      EXT CENTRAL CITY  VAN BUREN STREET  DAY,27
51,      EXT CENTRAL CITY  VAN BUREN STREET  NIGHT,145
52,      INT STAR LABS  THE CORTEX  DAY,31
53,      INT STAR LABS  THE CORTEX  NIGHT FLASHBACK,17
54,      INT ELECTRON STORAGE RING  NIGHT FLASHBACK,17
55,      INT STAR LABS  THE CORTEX  DAY,97
56,      EXT CENTRAL CITY STREETS  DAY,5
57,      EXT SUBURBAN STREET  NIGHT FLASHBACK,7
58,      EXT ALLEN FAMILY HOME  NIGHT FLASHBACK,35
59,      INT ALLEN FAMILY HOME  LIVING ROOM FLASHBACK,20
60,      EXT ROAD  NIGHT,13
61,      EXT ROOFTOP  NIGHT,97
62,      INT STAR LABS  THE CORTEX  NIGHT,64
63,      INT STAR LABS  THE RED ROOM  NIGHT,68
64,EXT BROWN DAIRY FARM  NIGHT ,18
65,      INT BROWN DAIRY FARM  BARN  NIGHT,44
66,      EXT CENTRAL CITY STREETS  NIGHT,6
67,      INT BROWN DAIRY FARM  BARN  NIGHT,23
68,      EXT BROWN DAIRY FARM  NIGHT  INTERCUT,168
69,      EXT BROWN DAIRY FARM  DAWN,124
70,      INT WEST APARTMENT BUILDING  NIGHT FLASHBACK,33
71,      INT IRON HEIGHTS PRISON  VISITORS ROOM  DAY,41
72,      INT JITTERS  DAY,14
73,      INT STAR LABS  THE CORTEX  DAY,33
74,      INT CENTRAL CITY POLICE DEPARTMENT  BARRY S LAB  DAY,10
75,      INT IRON HEIGHTS PRISON  VISITORS ROOM  DAY,15
76,      EXT CENTRAL CITY STREETS  DAY,33
77,      INT STAR LABS  WELLS  PRIVATE LAB  DAY,6
