1,  INT DINING ROOMLIVING ROOM  NIGHT VHS HOME VIDEO,195
2,  INT KITCHENLIVING ROOM  MORNING,38
3,  INT BATHROOM  MOMENTS LATER,18
4,  INT KITCHENLIVING ROOM  LATER,173
5,  EXT SILVER FRONT LAWN  MOMENTS LATER,116
6,  EXT SILVER FRONT LAWN  BACK TO SCENE,32
7,  INT WAFFLE HUT  LATER,76
8,  EXT WAFFLE HUT  PARKING LOT  LATER,32
9,  INT FIREBIRD TRAMS AM  LATER,39
10,  INT HOLDING CELL  DAY,55
11,  EXT SILVER FRONT LAWN  LATER,148
12,  INT KITCHENLIVING ROOM  LATER,158
13,  INT SILVER FAMILY STATION WAGON  LATER,87
14,  EXT INTERSECTION  LATER,135
15,  INT WAFFLE HUT  LATER,167
16,  INT IMPOUND LOT  DUSK,108
17,  EXT PARKING LOT  NIGHT,50
18,  EXT SILVER DRIVEWAY  DAY,14
19,  INT LIVING ROOM  DAY,8
20,  EXT STREET  DAY,13
21,  INT KITCHEN  NIGHT,14
