1,INT UNKNOWN BEDROOM  DAY FLASHBACK ,155
2,INT ALICIA S APARTMENT  MASTER BEDROOM  MORNING ,14
3,INT TH FLOOR  CONFERENCE ROOM  DAY  ,41
4,INT TH FLOOR  BULLPEN  DAY  ,78
5,INT TH FLOOR  HALLWAY  DAY  ,36
6,INT TH FLOOR  LARGE CONFERENCE ROOM  DAY  ,60
7,INT TH FLOOR  HALLWAY  DAY  ,141
8,INT TH FLOOR  CONFERENCE ROOM  DAY  ,98
9,INT EVEREST  DINING ROOM  DAY  ,178
10,EXT CHICAGO STREET  DAY  ,19
11,INT TH FLOOR  LARGE CONFERENCE ROOM  DAY  ,92
12,INT TH FLOOR  HALLWAY  DAY  ,50
13,INT CHRISTY S APARTMENT  ANDERSONVILLE  DAY  ,48
14,      INT HOTEL SUITE  NIGHT FLASHBACK,7
15,INT CHRISTY S APARTMENT  ANDERSONVILLE  DAY  ,52
16,INT TH FLOOR  HALLWAY  DAY  ,66
17,INT COOK COUNTY COURTHOUSE  HALLWAY  DAY  ,13
18,INT COOK COUNTY COURTHOUSE  LEAH S OFFICE  DAY  ,19
19,INT COOK COUNTY COURTHOUSE  HALLWAY  DAY  ,59
20,EXT  WORLDWIDE ELITE  OFFICES  DAY  ,4
21,INT  WORLDWIDE ELITE  OFFICES  DAY  ,141
22,EXT UNIVERSITY  NIGHT  ,11
23,INT ALICIA S APARTMENT  LIVING ROOM  NIGHT  ,73
24,INT ALICIA S APARTMENT  ZACH S BEDROOM  NIGHT  ,48
25,EXT FRAT HOUSE  NIGHT  ,116
26,EXT TAMMS MINIMUM SECURITY PRISON  VISITOR GATE  DAY  ,5
27,EXT TAMMS MINIMUM SECURITY PRISON  YARD  DAY  ,185
28,EXT CIVIL COURTS BUILDING  DAY  ,23
29,INT CIVIL COURTS BUILDING  LOBBY  DAY  ,143
30,INT CIVIL COURTS BUILDING  CIRCUIT COURT ROOM   DAY  ,125
31,INT TH FLOOR  BULLPEN  DAY  ,7
32,INT TH FLOOR  CONFERENCE ROOM  DAY  ,123
33,INT CIVIL COURTS BUILDING  CIRCUIT COURT ROOM   DAY  ,102
34,INT CIVIL COURTS BUILDING  DAY  ,41
35,      EXT TH FLOOR  LARGE CONFERENCE ROOM  DAYAA,64
36,INT TH FLOOR  RECEPTION  DAY  ,114
37,INT ALICIA S APARTMENT  ZACH S BEDROOM  DAY  ,67
38,INT ALICIA S APARTMENT  KITCHEN  DAY  ,58
39,INT ALICIA S APARTMENT  DINING ROOM  NIGHT  ,54
40,INT ALICIA S APARTMENT  ZACH S BEDROOM  NIGHT  ,16
41,INT ALICIA S APARTMENT  FOYER  NIGHT  ,11
42,INT ALICIA S APARTMENT  HALL  NIGHT  ,7
43,INT ALICIA S APARTMENT  DINING ROOM  NIGHT  ,83
44,      INT TH FLOOR  CONFERENCE ROOM  DAY,102
45,INT CIVIL COURTS BUILDING  CIRCUIT COURT ROOM   DAY  ,266
46,EXT DOWNTOWN HOTEL  NIGHT  ,4
47,INT DOWNTOWN HOTEL  LOBBY  NIGHT  ,186
48,INT CIVIL COURTS BUILDING  CIRCUIT COURT ROOM   DAY  ,59
49,INT CIVIL COURTS BUILDING  CAFETERIA  DAY  ,25
50,INT CIVIL COURTS BUILDING  CIRCUIT COURT ROOM   DAY  ,64
51,INT CIVIL COURTS BUILDING  HALLWAY  DAY  ,68
52,      INT ALICIA S APARTMENT  LIVING ROOM  NIGHTBB,69
53,INT ALICIA S APARTMENT  GRACE S BEDROOM  NIGHT  ,5
54,INT ALICIA S APARTMENT  ZACH S BEDROOM  NIGHT  ,7
