1,      INT ALICIA S APARTMENT  NIGHT,278
2,      INT TH FLOOR  HALLS  NIGHT,21
3,      INT ALICIA S APARTMENT  MASTER BEDROOM  NIGHT,39
4,      INT SEATTLE CHICK S BEDROOM  NIGHT,49
5,      INT BUILDING LOBBY  NIGHT,38
6,      EXT RUCKER HOUSE  NIGHT,74
7,      INT TH FLOOR  DIANE S OFFICE  NIGHT,11
8,      INT RUCKER HOUSE  LIVING ROOM  NIGHT,99
9,      INT TH FLOOR  DIANE S OFFICE  NIGHT,34
10,      INT TH FLOOR  SECRETARIAL STATION  NIGHT,18
11,      INT RUCKER HOUSE  MASTER BEDROOM  BATH  NIGHT,48
12,      INT TH FLOOR  DIANE S OFFICE  NIGHT,18
13,      INT BUILDING LOBBY  NIGHT,37
14,      INT ELEVATOR  NIGHT,40
15,      INT RUCKER HOUSE  MASTER BEDROOM  BATH  NIGHT,33
16,      INT TH FLOOR  CONFERENCE ROOM  NIGHT,109
17,      EXT RUCKER HOUSE  NIGHT,25
18,      INT BUILDING LOBBY  NIGHT,5
19,      INT TH FLOOR  HALLS  NIGHT,94
20,      INT CRIMINAL COURTS  COURTROOM   DAY,92
21,      INT POLICE STATION  INTERROGATION ROOM  DAY,86
22,      INT POLICE STATION  DAY,44
23,      EXT RUCKER HOUSE  DAY,159
24,      EXT NEIGHBOR S HOUSE  DAY,54
25,      INT POLICE STATION  INTERROGATION ROOM  DAY,45
26,      INT CRIMINAL COURTS  COURTROOM   DAY,173
27,      EXT NORTHWESTERN UNIVERSITY  DORM HALL  DAY,5
28,      INT NORTHWESTERN UNIVERSITY  DORM HALL  DAY,102
29,      INT POLICE STATION  INTERROGATION ROOM  DAY,157
30,      INT NORTHWESTERN UNIVERSITY  DORM HALL  DAY,45
31,      INT POLICE STATION  DAY,19
32,      INT STUDIO HALL  DAY,44
33,      INT STUDIO APARTMENT  DAY,97
34,      INT STUDIO HALL  DAY,19
35,      INT TH FLOOR  WILL S OFFICE  DAY,68
36,      INT TH FLOOR  DIANE S OFFICE  DAY,80
37,      INT CRIMINAL COURTS  COURTROOM   DAY,218
38,      INT TH FLOOR  SECRETARIAL STATION  NIGHT,12
39,      EXT RUCKER HOUSE  NIGHT,151
40,      INT CRIMINAL COURTS  HALLWAY  NIGHT,45
41,      INT POLICE STATION  INTERROGATION ROOM  NIGHT,100
42,      INT TH FLOOR  DIANE S OFFICE  NIGHT,113
43,      INT TH FLOOR  SECRETARIAL STATION  NIGHT,44
44,      INT BAR  NIGHT,167
45,      INT POLICE STATION  INTERROGATION ROOM  NIGHT,63
46,      INT NORTHWESTERN UNIVERSITY  DORM HALL  NIGHT,102
47,      INT CRIMINAL COURTS  COURTROOM   DAY,78
48,      INT CRIMINAL COURTS  HALLWAY  DAY,11
49,      INT CRIMINAL COURTS  COURTROOM   DAY,224
50,      INT CRIMINAL COURTS  HALLWAY  DAY,5
51,      INT TH FLOOR  SECRETARIAL STATION  DAY,58
