1,      INT TH FLOOR  CONFERENCE ROOM  DAY,300
2,      INT TH FLOOR  RECEPTIONHALLWAY  DAY,41
3,      INT TH FLOOR  CONFERENCE ROOM  DAY,190
4,      INT TH FLOOR  ALICIA S OFFICE  DAY,80
5,INT TH FLOOR  HALLWAY  DAY ,81
6,      EXT  COOK COUNTY VINDICATOR  DAY  ESTABLISHINGAA,9
7,      INT  COOK COUNTY VINDICATOR  PRINTING AREA  DAYBB,22
8,      INT COOK COUNTY VINDICATOR  HALLWAYBULLPEN  DAYCC,133
9,      INT THE VIOLET HOUR BAR  NIGHT,116
10,      INT  ALICIA S APARTMENT  KITCHEN  NIGHT,61
11,      INT  ALICIA S APARTMENT  MASTER BEDROOM SAME TIME,21
12,      INT  ALICIA S APARTMENT  KITCHEN  SAME TIME,157
13,      INT  CIVIL COURTHOUSE  COURTROOM   DAY,131
14,      INT  TH FLOOR  CONFERENCE ROOM  DAY,89
15,      INT TH FLOOR  WILL S OFFICE  DAY,69
16,      EXT  DOWNTOWN CHICAGO CONSTRUCTION SITE  LIFT  DAY,84
17,      EXT  SUBURBAN NEIGHBORHOOD  DAY EVENING,61
18,      INT TARIK BASSIR S LIVING ROOM MINUTES LATER DAY EVENING,101
19,      INT  TH FLOOR  DIANE S OFFICE  DAY  LATER,55
20,      INT  RACHEL S APARTMENT  NIGHT,82
21,      INT  CIVIL COURTHOUSE  COURTROOM   DAY,157
22,      INT TH FLOOR  SECRETARIAL SUBSTATION  DAY,6
23,      INT  TH FLOOR  WILL S OFFICE  SAME TIME,50
24,      INT  TH FLOOR  CONFERENCE ROOM  DAY,68
25,      INT ALICIA S APARTMENT  DAY,75
26,      INT ALICIA S APARTMENT  STORAGE ROOMOFFICE  DAY,6
27,      INT ALICIA S APARTMENT  DAY,28
28,      EXT  COOK COUNTY VINDICATOR  DAY  ESTABLISHING,4
29,      INT  COOK COUNTY VINDICATOR  BASEMENT  DAY,90
30,      INT  TH FLOOR  WILL S OFFICE  DAY NEXT MORNING,104
31,      INT TH FLOOR  LARGE CONFERENCE ROOM  DAY  MOMENTS LATER,124
32,      INT  TH FLOOR  DIANE S OFFICE  NIGHT  CONTINUOUS,78
33,      INT TH FLOOR  STAIRWELL  MOMENTS LATER,23
34,      INT ALICIA S APARTMENT  DINING ROOM  NIGHT,61
35,      INT CIVIL COURTHOUSE  COURTROOM   DAY NEXT DAY,245
36,      INT  TH FLOOR  CONFERENCE ROOM  DAY  LATER,52
37,      INT CIVIL COURTHOUSE  COURTROOM   NEXT DAY,156
38,      INT  LORD IN CHRIST CHURCH  DAY,70
39,      INT  RACHEL S APARTMENT  DAY  SAME TIME,107
40,      INT  LORD IN CHRIST CHURCH  DAY  AS BEFORE,5
41,      INT  LORD IN CHRIST CHURCH  BASEMENT  SAME TIME,98
42,      EXT LORD IN CHRIST CHURCH  DAY  MOMENTS LATER,18
43,      INT  ALICIA S APARTMENT  MASTER BEDROOM  NIGHT,19
44,      INT ALICIA S APARTMENT  KITCHEN  NIGHT,45
45,      INT ALICIA S APARTMENT  MASTER BEDROOM  NIGHT,40
