1,      INT TH FLOOR  DIANE S OFFICE  NIGHT,169
2,      INT TH FLOOR  SECRETARIAL SUBSTATION  NIGHT,123
3,      INT TH FLOOR  RECEPTION  NIGHT,29
4,      INT HOTEL BAR  NIGHT,31
5,      INT ALICIA S APARTMENT  NIGHT,156
6,      INT HOTEL BAR  NIGHT,128
7,      INT TH FLOOR  SECRETARIAL SUBSTATION  NIGHT,8
8,      INT HOTEL BAR  NIGHT,96
9,      EXT SWEENEY S TOWNHOUSE  NIGHT,24
10,      INT SWEENEY S TOWNHOUSE  NIGHT,33
11,      INT SWEENEY S TOWNHOUSE  STUDY  NIGHT,16
12,      INT SWEENEY S TOWNHOUSE  STUDY  DAY,87
13,      INT SWEENEY S TOWNHOUSE  NIGHT,57
14,      INT SWEENEY S TOWNHOUSE  STUDY   MINUTES LATER  NIGHT,129
15,      INT CRIMINAL COURT  DAY,143
16,      INT CRIMINAL COURT  HALLWAY  DAY,33
17,      INT HOLDING CELL  LAWYER S INTERVIEW ROOM  DAY,57
18,      INT TH FLOOR  CONFERENCE ROOM  DAY,62
19,      INT TH FLOOR  WILL S OFFICE  DAY,55
20,      INT TH FLOOR  SECRETARIAL SUBSTATION  DAY,39
21,      INT TH FLOOR  BULLPEN  DAY,85
22,      INT ALICIA S APARTMENT  NIGHT,88
23,      INT TH FLOOR  CONFERENCE ROOM  NIGHT,56
24,      INT TH FLOOR  CONFERENCE ROOM  TEN MINUTES LATERAA,24
25,      EXT SHEILA S DUPLEX  NIGHT,23
26,      INT SHEILA S DUPLEX  NIGHT,10
27,      INT SHEILA S DUPLEX  BEDROOM  NIGHT,13
28,      EXT SHEILA S DUPLEX  NIGHTAA,15
29,      INT CRIMINAL COURT  DAY,91
30,      INT STATE S ATTORNEY S OFFICE  DAY,97
31,      INT CRIMINAL COURT  HALLWAY  DAY,38
32,      INT HOLDING CELL  DAY,61
33,      INT HARPER  GREENE  DAY,67
34,      INT TH FLOOR  DIANE S OFFICE  DAY,75
35,      INT FBI CHICAGO DIVISION  HALLWAY  DAY,11
36,      INT FBI CHICAGO DIVISION  LANA S OFFICE  DAY,145
37,      INT TH FLOOR  BULLPEN  DAYAA,24
38,      INT TH FLOOR  ALICIA S OFFICE  DAYBB,53
39,      INT HOLDING CELL  DAY,60
40,      INT BRANDOS  DAY,143
41,      INT ELI S OFFICE  DAY,122
42,      INT STATE S ATTORNEY S OFFICE  DAY,111
43,      INT TH FLOOR  BULLPEN  DAY,56
44,      INT TH FLOOR  SECRETARIAL SUBSTATION  DAY,60
45,      INT HOLDING CELL  DAY,139
46,      INT CRIMINAL COURT  DAY,80
47,      INT ALICIA S APARTMENT  DAY,6
48,      EXT CRIMINAL COURT  DUSK,74
