1,EXT  BALTIMORE STREET    NIGHT,87
2,EXTINT  BALTIMORE METRO STATION    SAME,8
3,INT  BALTIMORE METRO CAR    SAME,153
4,EXTINT  BALTIMORE HOTEL BAR    NIGHT,105
5,INT  HOTEL ROOM    NIGHT,76
6,EXT  LOCAL FARM STORE    DAY,9
7,EXT  LOCAL FARM STORE    DAY,98
8,INT  VAN NUYS APARTMENT    DAY,123
9, CAR  DRIVING    DAYINT  KYLE S,61
10,EXT  GREATER LOS ANGELES ELEMENTARY    DAY,89
11,EXT  MALIBU HILLS    DAY,5
12,EXT  MALIBU HOME    DAY,13
13,INT  DOCTOR S OFFICE    DAY,55
14,INT  BALTIMORE FERTILITY LAB    DAY,49
15,EXT  BALTIMORE FERTILITY LAB    DAY,5
16,INT  LAB  LOBBY    SAME,27
17,INT  INNER LAB    LATER,92
18,INT  LAB  CONFERENCE ROOM    LATER,59
19, OFFICE    A LITTLE LATERINT  ALISON S,103
20, TOWNHOUSE    NIGHTEXTINT  VANESSA S,79
21,INT  VANESSA S DINING ROOM   A LITTLE LATER,97
22,INT  TOWN CAR  DRIVING    NIGHT,53
23,EXT  SANTA MONICA MOUNTAINS    DAY,10
24, CAR    SAMEINT  KYLE S,77
25,EXT   GREATER LOS ANGELES ELEMENTARY    DAY,42
26,INT  SCHOOL OFFICE    DAY,173
27, CAR  DRIVING    DAYINTEXT  ALISON S,32
28,INT  GEORGETOWN CRYOGENIC EGG BANK    DAY,105
29, VACATION HOME  CRESTED BUTTE    DAYEXT  PRESIDENT S,9
30, VACATION HOME    SAMEINT  DEN  PRESIDENT S,85
31,INTEXT  CRESTED BUTTE GONDOLA  MOVING    AFTERNOON,42
32,EXT  TOP OF THE SKI SLOPE    DAY,28
33,EXT  FLEETA STREET APARTMENT DC    DAY,9
34, APARTMENT    DAYINT  BROOKE S,154
35,EXT  FIELD    BEND OREGON    LATE AFTERNOON,24
36,INT  PATH THROUGH MEADOW    LATE AFTERNOON,52
37, APARTMENT    DAYEXTINT  GWEN S,55
38,INT  DC OFFICE BUILDING    NIGHT,67
39, HOUSE    DAYINT  JAMES ,123
40, HOUSE    SAMEEXT  JAMES ,9
41,EXT  BALTIMORE FERTILITY LAB    NIGHT,23
42, HOSPITAL    NIGHTINT  FRONT DESK  CHILDREN S,51
43,INT  BALTIMORE FERTILITY LAB    NIGHT,4
44,INT  BALTIMORE FERTILITY LAB    SAME,21
45,INT  CHILDREN S HOSPITAL  ND FLOOR    DAY,53
46,INT  HALLWAY  BALTIMORE FERTILITY LAB    NIGHT,21
47, HOSPITAL  RD FLOOR    NIGHTINT  CHILDREN S,48
48, HOSPITAL ROOM    NIGHTINT  ELVIS S,22
49,EXT  BALTIMORE FERTILITY LAB    NIGHT,22
50,EXT  CHILDREN S HOSPITAL    NIGHT,74
51,EXTINT  BALTIMORE METRO STATION    NIGHT,11
52,INT  BALTIMORE METRO CAR    NIGHT,59
53,INT  CAMDEN YARDS METRO STATION    SAME,20
54,EXT  CAMDEN YARDS METRO STATION    NIGHT,10
55,INT  STRINGER HOME    EVENING,25
56, HOME  BEND OREGON    EVENINGINT  PHILLIP STRINGER S,50
57, APARTMENT  FLEETA STREET    NIGHTEXT  BROOKE S,30
58, APARTMENT    NIGHTEXT  KYLE S,25
59, HOUSE    NIGHTEXT  ALISON S,32
60,INT  OREGON CLINIC    DAY,27
61,INT  BATHROOM    NIGHT,71
62,INT  BALTIMORE LAB    DAY,10
63,INT  ALISON S OFFICE    DAY,47
64,EXT  MOJAVE GAS STATION    NIGHT,24
