1,      EXT DAVIS MOTOR INN PARKING LOT  NIGHT N,101
2,      EXT DAVIS MOTOR INN HALLWAY  MOMENTS LATER,14
3,      EXT DAVIS MOTOR INN HALLWAY  EARLY MORNING D,11
4,      INT DAVIS MOTOR INN ROOM   CONTINUOUS,106
5,      EXT MOTEL BALCONY  CONTINUOUS,17
6,EXT DAVIS MOTOR INN PARKING LOT  DAY ,30
7,      EXT DAVIS MOTOR INN FORECOURT  DAY D CONT D,264
8,      EXT TRAILER PARK  DAY,7
9,      EXT MOBILE HOME  DAY,44
10,      INT MOBILE HOME  MOMENTS LATERAA,173
11,      INT BULLPEN CBI HQ  DAY,29
12,INT MOBILE HOME  CONTINUOUS ,93
13,EXT RUNDOWN DUPLEX  DAY ,154
14,      INT BULLPEN CBI HQ  DAY D CONT D,51
15,INT INTERROGATION ROOM CBI HQ  DAY ,6
16,      INT OBSERVATION ROOM  CONTINUOUS,4
17,INT INTERROGATION ROOM  CONTINUOUS ,126
18,      INT OBSERVATION ROOM  CONTINUOUS,5
19,      INT INTERROGATION ROOM  CONTINUOUS,71
20,INT OBSERVATION ROOM  DAY ,4
21,      INT KITCHEN CBI HQ  NIGHT NAA,73
22,INT BULLPEN CONFERENCE TABLE  NIGHT ,260
23,      INT MOBILE HOME  DAY D,16
24,EXT DAVIS PD MOTOR POOL  DAY ,96
25,INT INTERROGATION ROOM CBI HQ  DAY ,275
26,      INT HALLWAY CBI HQ  DAY,99
27,EXT BLAKELY S HOUSE  DAY ,72
28,INT LIVING ROOM BLAKELY HOME  DAY ,66
29,INT LIVING ROOM  A FEW MOMENTS LATER ,186
30,      EXT BLAKELY S HOUSE  DAY,134
31,      INT BULLPEN CBI HQ  DAY D CONT D,41
32,INT INTERROGATION ROOM CBI HQ  DAY ,87
33,      INT OBSERVATION ROOM CBI HQ  CONTINUOUS,25
34,      INT BULLPEN CBI HQ  DAY,40
35,      INT BULLPEN CBI HQ  A MOMENT LATER,160
36,      EXT DAVIS  NIGHT NAA,7
37,      INT BULLPEN CBI HQ  NIGHT,11
38,      INT PARKED CBI CAR DAVIS STREETS  NIGHT,8
39,      INT PATROL CAR MOVING  NIGHT,8
40,      INT CHO S PARKED CAR ND LOCATION  NIGHT,11
41,      INT BULLPEN CBI HQ  NIGHTAA,26
42,      INT BULLPEN CBI HQ  NIGHT,12
43,EXTINT CHO S PARKED CAR ND LOCATION  NIGHT ,8
44,      INT BULLPEN CBI HQ  NIGHT,7
45,      EXT PARKED CBI CAR  NIGHT,10
46,      INT BULLPEN CBI HQ  NIGHT,25
47,      EXT INDUSTRIAL AREA  NIGHT,36
48,      INT BULLPEN CBI HQ  NIGHT,120
49,      EXT DAVIS MOTOR INN ALLEYWAY  NIGHT,20
50,      EXT MOTEL BALCONY  NIGHT,6
51,      INT DAVIS MOTOR INN ROOM   CONTINUOUS,12
52,      INT BULLPEN CBI HQ  NIGHT,107
53,      EXT BLAKELY S HOUSE  DAY D,5
54,      INT BLAKELY HOUSE  DAY,12
