1,      EXT LEYLAND STATE UNIVERSITY  DAY D,111
2,      INT FOUNDERS HALL LEYLAND STATE UNIVERSITY  DAY,45
3,      INT BULLPEN CBI HQ  DAY D,43
4,      INT LISBON S OFFICE CBI HQ  DAY,29
5,INT OBSERVATIONINTERROGATION LEYLAND POLICE HQ  DAY ,188
6,      INT LEYLAND POLICE HQ  DAY D CONT D,81
7,      INT CONFERENCE ROOM CBI HQ  DAY  LATER,101
8,      INT LISBON S OFFICE CBI HQ  DAY  LATER,145
9,      INT BULLPEN CBI HQ  DAY,40
10,      EXT LEYLAND UNIVERSITY CAMPUS  AFTERNOON,5
11,      INT FOYER STUTZER INSTITUTE  AFTERNOON,39
12,INT STUTZER S LAB  AFTERNOON ,214
13,      INT HALLWAY STUTZER INSTITUTE  CONTINUOUSAA,14
14,      INT TEST ROOM  AFTERNOON,31
15,      EXT STUTZER INSTITUTE  AFTERNOON,149
16,      INT DAY ROOM SANITORIUM  DAY FIVE YEARS EARLIER,26
17,      EXT STUTZER INSTITUTE LEYLAND CAMPUS  AFTERNOON,5
18,INT CBI HQ  DAY D ,70
19,      EXT WAREHOUSE DISTRICT  DAY,31
20,      INT WAREHOUSE  DAY,33
21,      INT CBI HQ BULLPEN  DAY D CONT D,82
22,EXT LEYLAND CAMPUS  DAY ,43
23,      INT NELSON HOUSE  DAY,193
24,      INT CBI VEHICLE  DAY,77
25,      INT KERRY SHEEHAN S APARTMENT  DAY,12
26,      INT LIVING ROOM  DAY,33
27,      INT KERRY SHEEHAN S APARTMENT  DAY D CONT D,34
28,EXT KERRY SHEEHAN S CAMPUS APARTMENT  DAY ,29
29,      INT BULLPEN CBI HQ  DAY D,125
30,INT TEST ROOM  DAY ,195
31,INT  STUTZER S LAB STUTZER INSTITUTE  DAY ,114
32,      INT DAY ROOM SANITORIUM  DAY FIVE YEARS EARLIER,55
33,INT STUTZER S LAB STUTZER INSTITUTE  DAY ,202
34,      INT DAY ROOM SANITORIUM  DAY FIVE YEARS EARLIER,16
35,INT STUTZER S LAB  DAY ,29
36,      INT HALLWAY CBI HQ  DAY D CONT D,8
37,INT STUTZER S LAB  DAY ,11
38,EXT LEYLAND UNIVERSITY CAMPUS  DAY ,75
39,INT TEST ROOM  MOMENTS LATER ,160
40,INT STUTZER S LAB  CONTINUOUS ,91
41,      INT HALLWAY OUTSIDE LAB STUTZER INSTITUTESIMULTANEOUSAA,6
42,      INT STUTZER S LAB  DAYBB,238
43,      INT HALLWAYBULLPEN CBI HQ  DAY D,33
44,      EXT LELAND UNIVERSITY  DAY,25
