1,      EXT RENFREW ESTATE SACRAMENTO  DAY D,171
2,INT RENFREW ESTATE  CONTINUOUS ,5
3,      INT BACK HALLWAY RENFREW ESTATE  CONTINUOUS,8
4,      INT BACK BEDROOM RENFREW ESTATE  DAY,19
5,      EXT FRONT GATEHOUSE FOLSOM PRISON  DAY D,10
6,      EXT EXERCISE YARD FOLSOM PRISON  DAY,201
7,      INT MINELLIS OFFICE CBI HQ  DAY D CONTD,99
8,      INT BULLPEN CBI HQ  A MOMENT LATER,104
9,      EXT RENFREW ESTATE  DAY,40
10,INT LIVING ROOM RENFREW ESTATE  DAY ,113
11,INT FRONT HALL RENFREW ESTATE  CONTINUOUS ,10
12,      EXT GARDEN RENFREW ESTATE  CONTINUOUS,202
13,INT BACK HALLWAY RENFREW ESTATE  DAY ,31
14,      INT BACK BEDROOM RENFREW ESTATE  DAY,60
15,      INT BACK HALLWAY RENFREW ESTATE  DAYAA,88
16,      EXT RENFREW ESTATE  DAYBB,50
17,INT MINELLIS OFFICE CBI HQ  DAY ,133
18,      EXT SACRAMENTO STREET  DAY D ,21
19,INT LISBONS OFFICE CBI HQ  DAY ,132
20,AA EXT SACRAMENTO STREET  DAY ,8
21,INT BULLPEN CBI HQ  LATER THAT DAY ,158
22,INT MINELLIS OFFICE  CONTINUOUS ,77
23,      EXT JANES CAR ND STREET  DAYAA,6
24,      INT CORRIDOR JANES HOUSE  NIGHT N,5
25,      INT JANES BEDROOM  NIGHT,6
26,      EXT JANES CAR ND STREET  DAY,18
27, INT BULLPEN CBI HQ  NIGHT ,220
28,      EXT MARIN CONDO APARTMENTS  DAY D,6
29,INT HALLWAY MARIN CONDO  DAY ,82
30,INT LIVING ROOM MARIN CONDO APARTMENT  DAY ,187
31,EXT MINIMALL SACRAMENTO  DAY ,65
32,      INT BULLPEN CBI HQ  DAY,65
33,EXT RENFREW ESTATE  DAY ,12
34,INT BACK HALLWAY RENFREW ESTATE  DAY ,252
35,EXT RENFREW ESTATE  DAY ,43
36,      INT BULLPEN  CBI HQ  DAY D CONTD,24
37,      EXT GARDEN RENFREW ESTATE  DAY,166
38,      INT BACK BEDROOMHALLWAY RENFREW HOUSE  NIGHT N,12
39,      EXT GARDEN RENFREW ESTATE  CONTINUOUS,20
40,      INT BULLPEN CBI HQ  MORNING D,8
41,      INT LISBONS OFFICE  CONTINUOUS,40
42,EXT FOLSOM PRISON ESTABLISHING  MORNING ,4
43,EXT GATEHOUSE FOLSOM PRISON  MORNING ,77
44,      EXT CBI VEHICLE MOVING  MORNINGAA,4
45,      INTEXT CBI VEHICLE  MORNING,17
46,EXT BUSY STREET DOWNTOWN SACRAMENTO  DAY ,5
47,INT BULLPEN CBI HQ  DAY ,92
48,INT TIJUANA MOTEL ROOM  DAY ,65
49,      INT BULLPEN CBI HQ  CONTINUOUS,97
50,EXT TIJUANA ESTABLISHING  LATE DAY ,4
51,      INT MOTEL ROOM TIJUANA  NIGHT N,32
52,      INT BATHROOM  CONTINUOUS,9
