1,      EXT MARQUESA HOME  NIGHT  ESTABLISHING N,76
2,      INT MARQUESA HOME FOYER  CONTINUOUS,5
3,      INT UPSTAIRS MARQUESA HOME,13
4,      INT INTERROGATION ROOM CBI HQ  NIGHT,39
5,      INT OBSERVATION ROOM CBI HQ  CONTINUOUS,4
6,      INT INTERROGATION ROOM CBI HQ  CONTINUOUS,134
7,      INT HALLWAY CBI HQ  MOMENTS LATER,16
8,      INT MARQUESA HOME  LATER,71
9,      INT MARQUESA HOME HALLWAY  A MOMENT LATER,23
10,      INT MARQUESA HOME BATHROOM  NIGHT,42
11,      EXT VILLA MARSANTE ESTATES  DAY D,7
12,      EXT MARQUESA HOME  DAY,44
13,      INT FOYER MARQUESA HOME  MOMENTS LATER,18
14,      INT KITCHEN MARQUESA HOME  MOMENTS LATERAA,215
15,      EXT MARQUESA HOME  DAY,35
16,      EXT MARSANTE COUNTRY CLUB  DAY ESTABLISHING,2
17,      EXT BALCONY MARSANTE COUNTRY CLUB  DAY,38
18,      EXT NEAR THE TENNIS COURTS  DAYAA,68
19,      EXT ROSE COURTYARD MARSANTE COUNTRY CLUB  DAY,91
20,      EXT POOLSIDE MARSANTE COUNTRY CLUB  FIVE MINUTES LATER,35
21,      INT MEETING ROOM MARSANTE COUNTRY CLUB  DAY,62
22,      EXT TENNIS COURTS MARSANTE COUNTRY CLUB  LATER,119
23,INT CHAIRWOMAN S OFFICE MARSANTE COUNTRY CLUB  DAY ,51
24,      INT BULLPEN CBI HQ  EVENING,76
25,      EXT CLIFFSIDE INN  NIGHT N,6
26,      INT HOTEL HALLWAY CLIFFSIDE INN  NIGHT,18
27,      INT HOTEL ROOM CLIFFSIDE INN  NIGHT,15
28,      INT HALLWAY CBI HQ  DAY D,39
29,INT WAITING ROOM CBI HQ  DAY ,124
30,      INT BULLPEN CBI HQ  CONTINUOUS,97
31,      INT KITCHEN MARQUESA HOME  DAY,147
32,      INT BULLPEN CBI HQ  CONTINUOUS,34
33,EXT TENNIS COURTS MARSANTE COUNTRY CLUB  DAY ,77
34,      EXT MOTOCROSS DIRT LOT  NIGHT N,37
35,      INT HALLWAY MARSANTE COUNTRY CLUB  LATER,5
36,      INT CHAIRWOMAN S OFFICE  CONTINUOUSAA,21
37,      EXT MOTOCROSS DIRT LOT  LATER,152
38,      INT CHAIRWOMAN S OFFICE  NIGHT,26
39,      INT INTERROGATION ROOM CBI HQ  NIGHT N CONT D,103
40,      INT OBSERVATION ROOM CBI HQ  CONTINUOUS,21
41,      EXT CBI CAR ON RESIDENTIAL STREET  DAY D,98
42,      EXT POOL MARQUESA HOME  DAY,69
43,      INT MARQUESA HOME FOYER  CONTINUOUS,13
44,      INT MARQUESA HOME FOYER  MOMENTS LATER,85
45,      EXT SPA MARSANTE COUNTRY CLUB  DAY,111
46,      INT MASSAGE ROOM MARSANTE COUNTRY CLUB  MOMENTS LATER,17
47,      EXT SPA MARSANTE COUNTRY CLUB  NIGHT N,52
48,INT BAR MARSANTE COUNTRY CLUB  NIGHT ,93
49,      EXT MARQUESA HOME  LATER,108
50,      INT INTERROGATION ROOM CBI HQ  LATER,50
51,      INT MARQUESA HOME FOYER  NIGHT N,15
52,      INT STUDY MARQUESA HOME  CONTINUOUS N,11
53,      INT MARQUESA HOME FOYER  CONTINUOUS N,7
54,      INT BATHROOM MARQUESA HOME  NIGHT NAAAA,13
55,      INT MASSAGE ROOM MARSANTE COUNTRY CLUB  DAY DAA,17
56,      INT INTERROGATION ROOM CBI HQ  CONTINUOUS,13
