1,      EXT CBI HQ  DAY D,101
2,      INT BULLPEN CBI HQ  DAY,109
3,      EXT STREET CBI HQ  DAY,73
4,      EXT PARKING LOT CBI HQ  DAY,140
5,      INT HOSPITAL ROOM HOSPITAL  DAY D CONTD,186
6,EXT MEDINA HOME  DAY ,75
7,      INT HALLWAY BROKERAGE FIRM  DAY,47
8,      INT MEDINAS OFFICE BROKERAGE FIRM  MOMENTS LATER,32
9,INT HOSPITAL ROOM  DAY ,79
10,      INT BULLPEN CBI HQ  NIGHT N,35
11,EXT CLUB ENTRANCE  NIGHT ,101
12,      INT BULLPEN CBI HQ  DAY D,100
13,      INT INTERROGATION CBI HQ  DAY,143
14,      INT HALLWAY CBI HQ  CONTINUOUS,150
15,      INT KITCHEN MEDINA HOME  DAY,98
16,      INT DEN MEDINA HOME  MOMENTS LATER,55
17,INT JANES HOMEMALIBU OFFICE  DAY ,22
18,      INT DEN MEDINA HOUSE  CONTINUOUS,37
19,      INT BULLPEN CBI HQ  NIGHT N,72
20,INT KITCHEN CBI HQ  NIGHT ,254
21,      EXT JANES HOMEMALIBU OFFICE  DAY,83
22,      INT BULLPEN CBI HQ  CONTINUOUS,23
23,      INT BULLPEN CBI HQ  NIGHT N CONTD,66
24,      INT CONFERENCE AREA CBI HQ  A FEW MOMENTS LATER,69
25,      INT JANES HOMEMALIBU OFFICE  DAY,71
26,      INTEXT LOBBY BROKERAGE FIRM  DAY DBB,65
27,INT BULLPEN CBI HQ  DAY ,78
28,      EXT CBI HQ ESTABLISHING  NIGHT NAA,2
29,      INT KITCHEN CBI HQ  NIGHT,154
30,INT MENS ROOM CBI HQ  NIGHT ,53
31,      INT HALLWAY CBI HQ  NIGHT N CONTD,4
32,      INT MENS ROOM  CONTINUOUS,5
33,      INT KITCHEN CBI HQ  CONTINUOUS,35
34,INT BULLPEN CBI HQ  A MOMENT LATER ,200
35,INT ABANDONED FACTORY SPACE DOWNTOWN  NIGHT  ,21
36,      INT CBI HQ  CONTINUOUS,13
37,      INT ABANDONED FACTORY SPACE DOWNTOWN  CONTINUOUS,7
38,      INT BULLPEN CBI  CONTINUOUS,158
39,      EXT CBI HQ  NIGHT,87
40,      EXT PARKING LOT  CONTINUOUSAA,29
41,      INT JEEP  CONTINUOUS,68
42,      INT MENS ROOM CBI HQ  A MOMENT LATERAA,86
43,      EXT CBI HQ AND ENVIRONS  DAY D,5
