1,      EXT WOODS  DAY D,113
2,      EXT WOODS CRIME SCENE  CONTINUOUS,260
3,      EXT BA ADMINISTRATION CABIN PATIO  DAY D CONT D,162
4,EXT BA ADMINISTRATION CABIN VERANDA  DAY ,85
5,      INT BA ADMINISTRATION CABIN MACLEAN S OFFICE  LATER,192
6,      EXTINT TENT AREA JUSTIN S TENT  DAY,63
7,EXT BRIGHT ARCH CAMPGROUND  DAY ,15
8,      EXT CANOE LANDING  DAY,245
9,      EXT LAKESIDE  A MOMENT LATER,33
10,      EXT WOODS  DAY,83
11,      EXT HOUSE  MOMENTS LATERAA,38
12,      EXT HOUSE  DAY D CONT D,46
13,      INT CBI HQ CONFERENCE AREA  NIGHT N,131
14,      EXT BA ADMINISTRATION PARKING AREA  MORNING D,4
15,INT MACLEANS S OFFICE BRIGHT ARCH  MORNING ,121
16,EXT SACRED FIRE PIT  DAY ,133
17,      INT MESS HALL BRIGHT ARCH  DAY D CONT D,139
18,      EXT TENT AREA  DAY,12
19,      EXT TENT AREA  A MOMENT LATERAA,5
20,      INT MESS HALL  DAY,108
21,EXT BA ADMINISTRATION CABIN GARAGEHOSE BIB  DAY ,148
22,EXT WOODS  DAY ,7
23,      EXT ELSWEHERE IN WOODS  DAY,22
24,EXT BRIGHT ARCH GATE ENTRANCE  DAY ,127
25,      EXT BA ADMINISTRATION CABIN GARAGE  DAY D CONT D,69
26,INT WAITING ROOM MINELLI S OFFICE CBI HQ  DAY ,151
27,      INT INTERROGATION ROOM  CONTINUOUS,53
28,INT BULLPEN CBI HQ  DAY ,100
29,      EXT SACRED FIRE PIT  NIGHT N,225
30,INT MESS HALL BRIGHT ARCH  NIGHT ,42
31,      EXT WOODS CRIME SCENE  NIGHT,22
32,      INT MESS HALL BRIGHT ARCH  NIGHT,41
