1,      INT ARENA  NIGHT N,209
2,INT BACKSTAGE ARENA  NIGHT ,10
3,INT ARENA  NIGHT ,27
4,INT BACKSTAGE ARENA  NIGHT ,6
5,INT ARENA  NIGHT ,6
6,INT BACKSTAGE ARENA  NIGHT ,4
7,INT ARENA  NIGHT ,6
8,INT BACKSTAGE ARENA  NIGHT ,5
9,INT ARENA  NIGHT ,7
10,      INT BACKSTAGE ARENA  LATER,153
11,INT FLACCO S LOCKER ROOM  NIGHT ,151
12,      INT HALLWAY ARENA  CONTINUOUS,14
13,      INT MERRIMAN S DRESSING ROOM  CONTINUOUS,62
14,      INT HALLWAY ARENA  CONTINUOUS,32
15,      INT LISBON S OFFICE CBI HQ  DAY D,194
16,EXT INNER CITY COMMUNITY CENTER  DAY ,6
17,INT COMMUNITY CENTER  DAY ,28
18,      INT COMMUNITY CENTER  LATER,81
19,      EXT COMMUNITY CENTER  DAY,28
20,EXT CHARLOTTE MITCHELL S HOUSE  DAY ,17
21,INT CHARLOTTE MITCHELL S HOUSE  DAY ,34
22,INT OFFICE CHARLOTTE MITCHELL S HOUSE  DAY ,35
23,INT CHARLOTTE MITCHELL S HOUSE  DAY ,30
24,INT OFFICE CHARLOTTE MITCHELL S HOUSE   DAY ,28
25,INT CHARLOTTE MITCHELL S HOUSE  DAY ,43
26,      INT BULLPEN CBI HQ  DAY D CONT D,69
27,INT BENTON S GYM   DAY ,47
28,      EXT BENTON S GYM  DAY,72
29,      INT BENTON S GYM  DAY,129
30,      EXT SUBURBAN SCHOOL  DAY,62
31,      INT BULLPEN CBI HQ  DAY,63
32,      INT INTERVIEW ROOM CBI HQ  DAY,67
33,      INT HALLWAYBULLPEN CBI HQ  DAY,5
34,INT LISBON S OFFICE  DAY ,54
35,      INT BULLPEN CBI HQ  NIGHT N,100
36,      INT INTERROGATION ROOM  CBI  NIGHT N CONT D,73
37,INT INTERROGATION ROOM  CBI HQ  NIGHT ,134
38,      INT INTERROGATION ROOM  CBI HQ  DAY D,62
39,INT LISBON S OFFICE CBI HQ  DAY ,37
40,INT BULLPEN CBI HQ  DAY ,74
41,EXT GEARHEAD HANGOUT BACK ALLEY OAKLAND  DAY ,208
42,      INT BULLPEN CBI HQ  NIGHT N,55
43,INT BENTON S GYM  NIGHT ,179
44,      INT INTERVIEW ROOM CBI HQ  DAY DAA,90
45,BBINT BULLPEN CBI HQ  DAY ,30
46,INT HOSPITAL ROOM  DAY ,13
47,INT HALLWAY HOSPITAL  DAY ,8
48,      INT WAITING AREA HOSPITAL  DAY,8
49,INT ELEVATORS HOSPITAL  DAY ,15
50,INT WAITING AREA HOSPITAL  DAY ,14
51,INT HALLWAY HOSPITAL  DAY ,24
52,INT HOSPITAL ROOM  DAY ,54
53,      INT TOM MITCHELL S ROOM HOSPITAL  DAYAA,29
54,INT BENTON S GYM  DAY ,71
55,INT LISBON S OFFICE CBI HQ  DAY ,32
56,      INT OFFICE CHARLOTTE MITCHELL S HOUSE  DAY D,13
57,      INT BENTON S GYM  DAY D,23
58,      INT LISBON S OFFICE CBI HQ  DAY,27
59,      INT BACKSTAGE ARENA  NIGHT N,30
60,INT ELEVATORS CBI HQ  DAY ,55
