1,                                N         EXT OUTER SPACE  LUNCHTIME,27
2,      INT UNDISCLOSED ALIEN STATION  CONTINUOUS,70
3,      EXT NEW JERSEY  EVENING,7
4,      INT CONDO LIVING ROOM  CONTINUOUS,46
5,      EXT CONDO DEVELOPMENT  CONTINUOUS,14
6,      EXT BAYONNE APARTMENT BUILDING  MORNING,61
7,      INT WEAVER TOWNHOUSE LIVING ROOM  AFTERNOON,85
8,      EXT WEAVER TOWNHOUSE  MOMENTS LATER,177
9,      INT WILT CHAMBERLAIN S TOWNHOUSE  NEXT EVENING,105
10,      INT JOE MONTANA S ROOM  MEANWHILE,34
11,      INT KITCHEN  MEANWHILE,57
12,      INT DINING ROOM  MEANWHILE,76
13,      INT BASEMENT  CONTINUOUS,51
14,      INT DINING ROOM  CONTINUOUS,17
15,      INT MARTY AND DEBBIE S BEDROOM  LATER,22
16,      INT FRONT DOOR  CONTINUOUS,54
17,      INT MARTY AND DEBBIE S BEDROOM  FIVE MINUTES LATER,89
18,      INT LIVING ROOM WINDOW  NEXT MORNING,153
19,      INT WILT CHAMBERLAIN S KITCHEN  MEANWHILE,46
20,      INT WEAVER CONDO LIVING ROOM  MEANWHILE,55
21,      INT JACKIE JOYNERKERSEE S BEDROOM  LATER,47
22,      INT WEAVER CONDO LIVING ROOM  MEANWHILE,57
23,      INT JACKIE JOYNERKERSEE S BEDROOM  LATER,93
24,      INT WEAVER CONDO LIVING ROOM  MEANWHILE,52
25,      INT GARAGE  MOMENTS LATER,189
