1,EXT ATLANTIC OCEAN  NIGHT ,88
2,      INT GRAYSON MANOR  NIGHT,104
3,      INT GRAYSON MANOR  HOME OFFICE  NIGHT,56
4,      EXT GRAYSON MANOR  ND FLOOR TERRACE  NIGHT,16
5,      EXT BEACH  NIGHT,68
6,      EXT GRAYSON MANOR  COURTYARD PATIO  NIGHT,79
7,      EXT BEACH  NIGHT,12
8,      INT GRAYSON MANOR  PARTY  NIGHT,12
9,      EXT BEACH  NIGHTDAY,19
10,      INT BEACH HOUSE  DAY,79
11,      INT EMILY S BEACH HOUSE  DAY,168
12,      EXT GRAYSON MANOR  MASTER SUITE TERRACE  DAY,80
13,      EXT DOCKS  DAY,161
14,      INT GRAYSON MANOR  DAY,153
15,      EXT SOUTHAMPTON BEACH  DAY  LATER,82
16,      INT EMILY S BEACH HOUSE  DAY,42
17,      INT FEDERAL PRISON    DAY FLASHBACK,70
18,      INT GRAYSON MANOR  PATIO  DAY,24
19,      EXT MONTAUK HOTEL  RESTAURANT  DAY  INTERCUT,36
20,      INT GRAYSON MANOR  KITCHEN  DAY,124
21,      INT MONTAUK YACHT CLUB RESORT  DAY,44
22,      INT PORTER S STOWAWAY TAVERN  DAY,112
23,      EXT MONTAUK YACHT CLUB RESORT  DAY,58
24,      EXT HARBOR PARK  DAY,159
25,EXT CHARMING STREET  SAME  ,6
26,      INT SOUTHAMPTON HOSPITAL  DAY,88
27,      INT GRAYSON MANOR  EVENING,130
28,      INT GRAYSON MANOR  NIGHT,38
29,      EXT GRAYSON MANOR  PATIO  NIGHT,84
30,      INT JUVENILE DETENTION    DAY FLASHBACK,7
31,      EXT JUVENILE DETENTION    DAY FLASHBACK,217
32,      INT PORTER S STOWAWAY TAVERN  NIGHT,51
33,      INT GRAYSON MANOR  PARTY  NIGHT,42
34,EXT GRAYSON MANOR  PATIO  NIGHT ,78
35,      INT PORTER S STOWAWAY TAVERN  NIGHT,31
36,      INT PORTER S STOWAWAY TAVERN  BACK OFFICE  NIGHT,43
37,      INT GRAYSON MANOR  COURTYARD  NIGHT,107
38,      INT GRAYSON MANOR  NIGHT,114
39,      EXT DOCKS  NIGHT,53
40,      INT GRAYSON MANOR  BEDROOM  NIGHT,48
41,      INT EMILY S BEACH HOUSE  NIGHT,112
42,      INT FEDERAL PRISON    DAY FLASHBACK,31
43,INT FEDERAL PRISON  VISITOR S AREA  DAY FLASHBACK ,11
44,      INT FEDERAL PRISON  PLEXIGLASS VISITING AREA  DAY,24
45,      EXT FEDERAL PRISON  DAY,32
46,      INT EMILY S BEACH HOUSE  NIGHT,19
47,      INT MONTAUK YACHT CLUB HOTEL  HALLWAY  DAY,29
48,EXT DOCKS OUTSIDE PORTER S STOWAWAY TAVERN  NIGHT ,27
49,      EXT GRAYSON MANOR  NIGHT,6
