1,  EXT CRICKLEY HALL   DAY ,81
2,  INT GABE S BEDROOM  DAY ,5
3,  INT CAM S BEDROOM  DAY ,33
4,  EXT GABE S HOUSE  DAY ,4
5,  INT GABE S BEDROOM  DAY ,5
6,  INT GABE S KITCHEN  DAY ,54
7,  INT CAM S BEDROOM  DAY ,44
8,  INT LOREN S BEDROOM  DAY ,11
9,  INT CALLY S BEDROOM  DAY ,15
10,  INT GABE S KITCHEN  DAY ,74
11,  INT SCHOOL HALL  DAY ,83
12,  EXT GABE S HOUSE  DAY ,4
13,  INT EVE S CAR  DAY ,45
14,  EXT PLAYGROUND  DAY ,44
15,  EXT CRICKLEY HALL   DAY ,10
16,  EXT PLAYGROUND  DAY ,41
17,  EXT PLAYGROUND  NIGHT ,104
18,  INT CAM S BEDROOM  NIGHT ,73
19,  EXT PLAYGROUND  DAY ,16
20,  EXT GABE S HOUSE  DAY ,36
21,  INT GABE S BEDROOM  DAY ,15
22,  EXT GABE S HOUSE  DAY ,4
23,  INT GABE S LIVING ROOM  DAY ,71
24,  INT GABE S BEDROOM  DAY ,7
25,  INT CAM S BEDROOM  DAY ,19
26,  INT GABE S BEDROOM  DAY ,28
27,  INT GABE S BEDROOM  DAY AA,5
28,  EXT COUNTRY LANE  DAY ,24
29,  EXT COUNTRY LANE  DAY ,4
30,  INT GABE S CAR  DAY ,28
31,  EXT CRICKLEY HALL  DAY ,35
32,  INT CRICKLEY HALL  DORMITORY  DAY ,5
33,  INT CRICKLEY HALL  ENTRANCE HALL  DAY ,21
34,  INT CRICKLEY HALL  DINING ROOM  DAY ,22
35,  INT CRICKLEY HALL  DRAWING ROOM  DAY ,13
36,  INT CRICKLEY HALL  ENTRANCE HALL  DAY ,9
37,  INT CRICKLEY HALL  LANDING  DAY ,5
38,  INT CRICKLEY HALL  LANDING  DAY ,33
39,  INT CRICKLEY HALL  CELLAR  DAY ,48
40,  INT CRICKLEY HALL  KITCHEN  DAY ,16
41,  INT CRICKLEY HALL  CELLAR  DAY ,13
42,  INT CRICKLEY HALL  KITCHEN  DAY ,156
43,  EXT CRICKLEY HALL  DAY ,6
44,  EXT CRICKLEY HALL   DAY ,8
45,  INT CRICKLEY HALL  ENTRANCE HALL   DAY ,77
46,  INT CRICKLEY HALL  MAGDA S STUDY   DAY ,69
47,  INT CRICKLEY HALL  ENTRANCE HALL   DAY ,35
48,  EXT CRICKLEY HALL   DAY ,39
49,  INT CRICKLEY HALL  DORMITORY   DAY ,10
50,  INT CRICKLEY HALL  LANDING   DAY ,17
51,  INT CRICKLEY HALL  LANDING  NIGHT ,41
52,  INT CRICKLEY HALL  LOREN S ROOM  NIGHT ,9
53,  INT CRICKLEY HALL  LANDING  NIGHT ,13
54,  INT CRICKLEY HALL  DORMITORY  NIGHT ,27
55,  EXT CRICKLEY HALL  NIGHT ,4
56,  INT CRICKLEY HALL  MAIN BEDROOM  NIGHT ,7
57,  INT CRICKLEY HALL  ENTRANCE HALL  NIGHT ,67
58,  EXT CRICKLEY HALL   DAY ,23
59,  INT CRICKLEY HALL  ENTRANCE HALL   DAY ,33
60,  INT CRICKLEY HALL  CLASSROOM   DAY ,152
61,  INT CRICKLEY HALL  MAGDA S STUDY   DAY ,53
62,  INT CRICKLEY HALL  CLASSROOM   DAY ,32
63,  INT CRICKLEY HALL  CELLAR   DAY ,37
64,  EXT CRICKLEY HALL  DAY ,6
65,  INT CRICKLEY HALL  ENTRANCE HALL  DAY ,5
66,  INT CRICKLEY HALL  KITCHEN  DAY ,5
67,  EXT BARNABY S INN  DAY ,25
68,  INT BARNABY S INN  DAY ,53
69,  INT CRICKLEY HALL  ENTRANCE HALL  DAY ,5
70,  INT CRICKLEY HALL  KITCHEN  DAY ,5
71,  EXT CRICKLEY HALL  GARDEN  DAY ,6
72,  EXT BARNABY S INN  DAY ,15
73,  INT CHURCH  DAY ,9
74,  EXT CEMETERY  DAY ,41
75,  EXT CHURCH  DAY ,87
76,  EXT CEMETERY  DAY ,48
77,  EXT CRICKLEY HALL  GARDEN  DAY ,33
78,  EXT COUNTRY LANE   DAY ,25
79,  EXT BARNABY INN   DAY ,82
80,  EXT VILLAGE  DAY ,22
81,  INT SHED  DAYAA,5
82,  INT CRICKLEY HALL  CLASSROOM   DAY ,75
83,  INT CRICKLEY HALL  ENTRANCE HALL   DAY ,13
84,  INT CRICKLEY HALL  STUDY   DAY ,97
85,  INT CRICKLEY HALL  CELLAR  NIGHT ,5
86,  INT CRICKLEY HALL  ENTRANCE HALL  NIGHT ,6
87,  INT CRICKLEY HALL  CALLY S ROOM  NIGHT ,5
88,  INT CRICKLEY HALL  LANDING  NIGHT ,10
89,  INT CRICKLEY HALL  KITCHEN  NIGHT ,4
90,  INT CRICKLEY HALL  ENTRANCE HALL  NIGHT ,4
91,  INT CRICKLEY HALL  LANDING  NIGHT ,55
92,  INT CRICKLEY HALL  CLASSROOM   DAY ,134
93,  EXT CRICKLEY HALL   DAY ,4
94,  EXT CRICKLEY HALL  DAY ,12
95,  INT CRICKLEY HALL  KITCHEN  DAY ,53
96,  INT SCHOOL CORRIDOR  DAY ,41
97,  INT CRICKLEY HALL  DINING ROOM  DAY ,68
98,  INT CRICKLEY HALL  ENTRANCE HALL  DAY ,13
99,  INT DORMITORY  DAYAA,23
100,  EXT CRICKLEY HALL   DAY ,33
101,  INT GABE S CAR  DAY ,40
102,  EXT CRICKLEY HALL  DAY ,26
103,  EXT CRICKLEY HALL  DAY ,8
104,  INT CRICKLEY HALL  MAIN BEDROOM  NIGHT ,67
105,  INT CRICKLEY HALL  BATHROOM  NIGHT ,29
106,  INT CRICKLEY HALL  CELLAR  NIGHT ,6
107,  INT CRICKLEY HALL  ENTRANCE HALL  NIGHT ,4
108,  INT CRICKLEY HALL  MAIN BEDROOM  NIGHT ,26
