1,AAEXT ESTABLISHING SHOT OF THE AGRESTIC COMMUNITY  DAY     ,248
2,    EXT GROCERY STORE  DAY DAY ,14
3,    EXT GROCERY STORE  DAY DAY ,13
4,    EXT COFFEE SHOP  DAY DAY ,13
5,    EXT NAIL SALON  DAY DAY ,24
6,    EXT GROCERY STORE  DAY DAY ,12
7,    INT NANCYS FAMILY ROOM  CONTINUOUS DAY ,120
8,    INT DOUG S OFFICE  LATER DAY ,180
9,    INT ISABEL S BEDROOM  SAME TIME DAY ,12
10,    INT CELIA S BATHROOM  CONTINUOUS DAY ,8
11,INT ISABEL S BEDROOM  CONTINUOUS DAY  ,9
12,    INT CLINIC  LATER DAY ,245
13,    INT CLUB  CONTINUOUS DAY ,435
14,    INT NANCY S FAMILY ROOM  SAME TIME DAY ,8
15,    INT NANCY S KITCHEN  LATER DAY ,8
16,    EXT AGRESTIC STOCK SHOT  NIGHT NIGHT ,9
17,    INT UNFINISHED AGRESTIC HOUSE  CONTINUOUS NIGHT ,54
18,    INT ROOM  CONTINUOUS NIGHT ,59
19,    EXT NANCY S PERGOLA  SAME TIME NIGHT ,14
20,    INT NANCY S KITCHEN  CONTINUOUS NIGHT ,205
21,    INT ART CLASSROOM  DAY DAY ,125
22,    INT NANCY S HOUSE  CONTINUOUS DAY ,12
23,    INT SCHOOL HALLWAY  CONTINUOUS DAY ,24
24,    INT NANCY S HOUSE  CONTINUOUS DAY ,8
25,    INT SCHOOL HALLWAY  CONTINUOUS DAY ,8
26,    INT NANCY S HOUSE  CONTINUOUS DAY ,8
27,    INT SCHOOL HALLWAY  CONTINUOUS DAY ,10
28,    INT NANCY S HOUSE  CONTINUOUS DAY ,29
29,    INT ISABEL S BEDROOM  THAT NIGHT NIGHT ,42
30,    INT CELIA S BEDROOM  CONTINUOUS NIGHT ,64
31,    INT ISABEL S BEDROOM  CONTINUOUS NIGHT ,7
32,    INT CELIA S BEDROOM  CONTINUOUS NIGHT ,63
33,    INT ISABEL S BEDROOM  CONTINUOUS NIGHT ,13
34,    INT CELIA S BATHROOM  CONTINUOUS DAY ,11
35,    INT CELIA S KITCHEN  CONTINUOUS DAY ,18
36,    INT NANCYS FAMILY ROOM  LATER DAY ,241
37,    INT DOUG S OFFICE  NIGHT NIGHT ,151
38,    INT UNFINISHED AGRESTIC HOUSE  SAME TIME NIGHT ,18
39,    INT NANCY S KITCHEN  NIGHT NIGHT ,193
40,    INT CELIA S BATHROOM  CONTINUOUS NIGHT ,44
41,    INT HEYLIA S KITCHEN  DAY DAY ,101
42,    INT CELIA S BATHROOM  LATER NIGHT ,13
43,    INT ISABEL S BEDROOM  CONTINUOUS NIGHT ,12
