1,    INT HEYLIA S HOUSE  DAY DAY ,287
2,    INT NANCY S BATHROOM  DAY DAY ,75
3,    EXT PARK  LATER DAY ,74
4,    INT CELIA S HOUSE  DAY DAY ,60
5,INT NANCY S BEDROOM  INT PETER S BEDROOM  NIGHT      ,58
6,    INT NANCY S FRONT HALL  SHORT TIME LATER NIGHT ,129
7,    INT NANCY S FRONT HALL  MORNING DAY ,35
8,    INT CELIA S BATHROOM  LATER DAY ,10
9,    INT DOUG S OFFICE  DAY DAY ,142
10,    INT SILAS S ROOM  DAY DAY ,19
11,    INT HEYLIA S HOUSE  DAY DAY ,231
12,    INT BAKERY  LATER DAY ,270
13,    INT CELIA S HOUSE  DAY DAY ,103
14,    INT NANCY S KITCHEN  DAY DAY ,48
15,    INT SILAS  ROOM  DAY DAY ,136
16,    EXT NANCY S HOUSE  DAY DAY AA,160
17,    INT BAKERY  DAY DAY ,70
18,EXT NANCY S PATIO  NIGHT NIGHT  ,97
19,    INT NANCY S KITCHEN  CONTINUOUS NIGHT ,67
20,    INT HEYLIA S HOUSE  SAME TIME NIGHT ,16
21,    EXT AGRESTIC  DAY DAY ,44
22,    EXT PETER S HOUSE FRONT DOOR  NIGHT NIGHT ,22
