1,      INT PETER S BEDROOMBATHROOM  NIGHT NIGHT ,66
2,      INT NANCY S HALLWAYBEDROOMS  SAME TIME NIGHT ,36
3,      INT PETER S BEDROOM  NEXT MORNING DAY ,131
4,  AAEXT PETER S HOUSE  DAY DAY  ,7
5,      EXT MALL PARKING LOTINT CELIA S CAR  MIDMORNINGDAY ,118
6,      EXT MALL PARKING LOT  LATER DAY ,98
7,      INT NANCY S KITCHEN  LATER DAY ,266
8,      EXT REAR OF THE BAKERY  LATER DAY ,158
9,      INT RABBINICAL SCHOOL OFFICE  LATER DAY ,171
10,      INT BAKERY KITCHEN  SHORT TIME LATER DAY ,64
11,      INT CITY COUNCIL MEETING  DAY DAY ,113
12,      INT IT S A GRIND  EVENING DAY AA,111
13,      INT HEYLIA S HOUSE  DAY DAY ,220
14,      INT CELIA S FAMILY ROOMKITCHEN  DAY DAY ,261
15,      INT NANCY S KITCHEN  NIGHT NIGHT ,148
16,      INT NANCY S KITCHEN  SHORT TIME LATER NIGHT ,97
17,      EXT BURNT BAKERY  NIGHT NIGHT ,96
