1,      EXT NYC PARTY CRUISE  NIGHT,113
2,      INT CAR  NIGHT,8
3,      EXT NYC PARTY CRUISE  NIGHT,6
4,      EXT NEW YORK STREET  NIGHT,7
5,      INT VENTURE CAPITAL FIRM  CONFERENCE ROOM  NIGHT,9
6,      EXT EAST RIVER  NIGHT,8
7,      INT VENTURE CAPITAL FIRM  NIGHT,36
8,      EXT EAST RIVER  NIGHT,9
9,      EXTINT BELLEVUE HOSPITAL ER  DAY,34
10,      INT PSYCHIATRIC EMERGENCY DEPARTMENT  CONTINUOUS,108
11,      INT PSYCHIATRIC EMERGENCY DEPARTMENT  HALLWAY  DAY,25
12,      INT PSYCHIATRIC ED  BREAK ROOM  CONTINUOUS,66
13,      INT PSYCHIATRIC EMERGENCY DEPARTMENT  FISHBOWL  DAY,183
14,      INT MEDICAL ER  DAY,241
15,      INT ICU  DAY,121
16,      INT ICU HALLWAY  MOMENTS LATER,52
17,      INT BELLEVUE INPATIENT PSYCH WARD  COMMUNITY ROOM  LATER,59
18,      EXT EAST RIVER  NIGHT  FLASHBACK,14
19,      INT BELLEVUE INPATIENT PSYCH WARD  BACK TO PRESENT,171
20,      EXT UNDERWATER  FLASHBACK,9
21,      EXT LAKE MICHIGAN  PATROL BOAT  DAY  ,24
22,      INT PSYCHIATRIC EMERGENCY DEPARTMENT  BACK TO PRESENT  DAY,231
23,      EXT BELLEVUE  DAY,32
24,      INT KJ S CAFE  MOMENTS LATER,152
25,      EXT STREET  CONTINUOUS,47
26,      INT MEDICAL ER  DAY,143
27,      INT SWANKY HOTEL BALLROOM  NIGHT,143
28,      INT SWANKY HOTEL BALLROOM  BAR  CONTINUOUS,144
29,      EXT SWANKY HOTEL  NIGHT,131
30,      INT AMBULANCE  LAKE MICHIGAN ROAD  DAY  ,50
31,      INT BELLEVUE HOSPITAL  ICU  NIGHT  BACK TO PRESENT,86
32,      EXT HOSPITAL STREET  NIGHT,45
33,      INT PSYCHIATRIC EMERGENCY DEPARTMENT  FISHBOWL  DAY,78
34,      INT MEDICAL ER  DAY,109
35,      INT HOSPITAL COURTROOM  DAY,115
36,      EXT LAKE MICHIGAN HOUSE    FLASHBACK ,27
37,      INT HOSPITAL COURTROOM  BACK TO PRESENT,25
38,      EXT LAKE MICHIGAN HOUSE    FLASHBACK  CONTINUED,9
39,      INT HOSPITAL COURTROOM  BACK TO PRESENT,15
40,      EXT LAKE MICHIGAN HOUSE    FLASHBACK  CONTINUED,6
41,      INT HOSPITAL COURTROOM  BACK TO PRESENT,86
42,      INT ICU  DAY,75
43,      INT PSYCHIATRIC EMERGENCY DEPARTMENT  FISHBOWL  DAY,44
44,      INT PSYCHIATRIC ER  DAY,84
45,      EXT BELLEVUE ROOF  DUSK,42
46,      EXT LAKE MICHIGAN DOCK  DAY  ,50
47,      EXT EAST RIVER  BACK TO PRESENT,14
48,      INT MIDTOWN BOATHOUSE  NIGHT,6
49,      EXT NEW YORK STREET  MORNING,6
50,      INT VANESSA S LOFT  MORNING,37
51,      INT MIDTOWN ROWING CLUB  DUSK,7
52,      INT FANCY PREWAR BUILDING  MORNING ,5
53,      EXT EAST RIVER DOCK  DUSK,6
54,      INT HALLWAY  FANCY PREWAR BUILDING  MORNING,38
