1,      EXT WALTER CRONKITE HIGH SCHOOL GRADUATION  DAY,85
2,      EXT CESAR CHAVEZ HIGH SCHOOL GRADUATION  SAME TIME,56
3,      INT YODER HOUSE  THAT AFTERNOON,159
4,      EXT LISETTE S APARTMENT COURTYARD  GRADUATION PARTY,201
5,      INT CHUEY S BAGELS  NEXT MORNING,125
6,      INT YODER LIVING ROOM  AFTERNOON,135
7,      INT LISETTE S APARTMENT  AFTERNOON,51
8,      INT YODER S HOUSE  EVENING,28
9,      INT YODER LIVING ROOM  CONTINUOUS,140
10,      INT SPORTING GOODS STORE  NEXT MORNING,31
11,      INT ORTHODONTIC PRACTICE  MORNING,36
12,      INT TREATMENT ROOM  CONTINUOUS,82
13,      INT MALL  LATER THAT MORNING,68
14,      INT CHUEY S BAGELS  LATER THAT DAY,12
15,      INT YODER LIVING ROOM  LATER THAT DAY,18
16,      INT YODER LIVING ROOM  CONTINUOUS,28
17,      INT LISETTE S APARTMENT  SAME TIME,39
18,      INT YODER LIVING ROOM  SAME TIME,18
19,      INT LISETTE S APARTMENT  SAME TIME ,10
20,      INT YODER LIVING ROOM  SAME TIME,10
21,      INT LISETTE S APARTMENT,7
22,      INT YODER LIVING ROOM,8
23,      INT LISETTE S APARTMENT  SAME TIME,17
24,      INT YODER S LIVING ROOM  SAME TIME,27
25,      INT LISETTE S APARTMENT  LATER ,327
26,      INT LISETTE S APARTMENT  LATER,39
27,      EXT KNOTTS BERRY FARM AMUSEMENT PARK  DAY ,15
28,      EXT KNOTTS BERRY FARM SNACK AREA,45
29,      EXT BOOMERANG ROLLER COASTER  SAME TIME,103
