1,    INT RYAN S LIVING ROOM  NIGHT,61
2,    INT KITCHEN  MOMENTS LATER,6
3,    INT LIVING ROOM  MOMENTS LATER,29
4,    INT BEDROOM  MOMENTS LATER,7
5,    EXT RYAN S BACK YARD  MOMENTS LATER  NIGHT,51
6,    INT BEDROOM  A LITTLE LATER,8
7,    INT LIVING ROOM  LATER THAT NIGHT,6
8,    INT LIVING ROOM  LATER THAT NIGHT,6
9,    INT SHOWER  LATER THAT NIGHT,4
10,    INT LIVING ROOM  DAY,9
11,    INT KITCHEN  LATER THAT NIGHT,7
12,    INT BATHROOM  A LITTLE LATER,9
13,    INT FRONT DOOR  MOMENTS LATER,108
14,    INT LIVING ROOM  DAY,45
15,    INT HOSPITAL  DAY,74
16,    INT KITCHEN  CONTINUOUS,26
17,    INT LIVING ROOM  MOMENTS LATER,123
18,    INT LIVING ROOM  DAY,17
19,    INT HOSPITAL  CONTINUOUS,30
20,    INT KITCHEN  CONTINUOUS,37
21,    EXT RYAN S BACK YARD  MOMENTS LATER,132
22,    EXT STREET  LATER ,134
23,    EXT ANOTHER STREET  A LITTLE LATER,42
24,    EXT ALLEY BEHIND RYAN S HOUSE,148
25,    INT JENNA S HOUSE  EVENING,263
26,    EXT ALLEY BEHIND RYAN S HOUSE,25
27,    INT LIVING ROOM  THAT EVENING,117
28,    EXT RYAN S BACK YARD  CONTINUOUS,69
29,    EXT ALLEY BEHIND RYAN S HOUSE  MOMENTS LATER,10
30,    EXT SPENCER S YARD  MOMENTS LATER,18
31,    INT SPENCER S HOUSE  MOMENTS LATER,90
32,    EXT SPENCER S YARD  MOMENTS LATER,25
33,    EXT ALLEY BEHIND RYAN S HOUSE  MOMENTS LATER,6
34,    INT RYAN S BACK YARD  CONTINUOUS,120
35,    INT LIVING ROOM  LATE THAT NIGHT,17
36,    INT SAME  LATER,15
37,    INT SAME  LATER,16
38,    INT SAME  LATER,24
