1,INT LEE  CONNIE S HOUSE  MORNING DAY ONE,257
2,INT BAR  LATER DAY ONE,191
3,INT DOCTOR S OFFICE WAITING ROOM  LATER DAY ONE,106
4,INT LEE  CONNIE S HOUSE  LATER DAY ONE,14
5,INT LEE  CONNIE S BEDROOM  CONTINUOUS,27
6,INT FLEMING PHARMACEUTICAL COMPANY  MORNING DAY TWO,44
7,INT OFFICE  MOMENTS LATER DAY TWO,154
8,INT LEE  CONNIE S HOUSE  LATER DAY TWO,139
9,INT BAR  LATER DAY TWO,150
10,INT FLEMING PHARMACEUTICALS BULLPEN  MORNING DAY THREE,282
11,INT HOSPITAL,18
12,INT SCHOOL HALLWAY,46
13,INT BULLPEN  LATER,38
14,INT BREAK ROOM  MOMENTS LATER,37
15,EXT PARKING LOTINT LEE S CAR  LATER DAY THREE,39
16,EXT ASTRO TACO DRIVETHRU  MOMENTS LATER,44
17,INT CAR  MOMENTS LATER,14
18,EXT DRIVETHRU  MOMENTS LATER,63
19,EXT ASTRO TACO DRIVETHRU  MOMENTS LATER DAY THREE,83
20,INT ANGEL S APARTMENT  MORNING DAY FOUR,107
21,INT LEE  CONNIE S BEDROOM  MORNING A FEW DAYS AGO,35
22,INT DEPARTMENT STORE COSMETICS COUNTER  LATER,74
23,INT FLEMING PHARMACEUTICALS OFFICE  LATER DAY FOUR,49
24,INT VANESSA S OFFICE  MOMENTS LATER,33
25,INT BULLPEN  LATER,185
26,INT BARCLUB  LATER NIGHT FOUR,94
27,INT DANCE FLOOR  MOMENTS LATER,19
28,INT CLUB LADIES  ROOM  MOMENTS LATER,12
29,INT LEE  CONNIE S HOUSE  SAME TIME,78
30,EXT LEE  CONNIE S HOUSE  LATER NIGHT FOUR,162
