1,      EXT OFFICE  BALCONY  DAY DAY ONE,83
2,      INT OFFICE  GUYS  CUBICLE  SAME TIME,35
3,      EXT OFFICE  BALCONY  MOMENTS LATER,34
4,      EXT OFFICE  BALCONYINT OFFICE  MOMENTS LATER,177
5,      INT OFFICE  GUYS  CUBICLE  DAY  LATER,145
6,      INT OFFICE  HALLWAY  MOMENTS LATER,25
7,      INT OFFICE  BREAK ROOM  DAY,97
8,      INT OFFICE  ALICE S OFFICE  DAY,75
9,      INT OFFICE  CONTINUOUS,12
10,      INT OFFICE  ALICE S OFFICE  MOMENTS LATER,66
11,      INT OFFICE  CONFERENCE ROOM  DAY,23
12,      INT OFFICE  ALICE S OFFICE  SIMULTANEOUS,68
13,      INT OFFICE  CONFERENCE ROOM  SAME TIME,23
14,      INT OFFICE  ALICE S OFFICE  MOMENTS LATER,60
15,      INT OFFICE  GUYS  CUBICLE  CONTINUOUS,107
16,      INT OFFICE  CONFERENCE ROOM  LATER,98
17,      EXT OFFICE  PARKING LOT  LATER,191
18,      INT OFFICE  ALICE S OFFICE  LATER,64
19,      INT OFFICE  GUYS  CUBICLE  LATER,22
20,      INT OFFICE  ALICE S OFFICE  CONTINUOUS,152
21,      INT OFFICE  GUYS  CUBICLE  MOMENTS LATER,46
