1,      INT MEL AND SAM S APARTMENT  DAY,202
2,      INT CAP WEEKLY MAGAZINE  NIGHT,92
3,      INT THE COOK RESIDENCE  SAME,117
4,      INT THE COOK RESIDENCE,65
5,      EXT CAP WEEKLY MAGAZINE  NIGHT,40
6,      EXT CAP WEEKLY MAGAZINE  MOMENTS LATER,9
7,      INT CAB  MOMENTS LATER,58
8,      EXT BETHESDA NEIGHBORHOOD  MOMENTS LATER,18
9,      INT COOK KITCHENDINING ROOM  SAME,7
10,      EXT BETHESDA NEIGHBORHOOD  CONTINUOUS,18
11,      EXT BETHESDA STREET  MOMENTS LATER,6
12,      EXT TOWNHOUSE ROW  LATER,6
13,      INT NICKY S BEDROOM  MOMENTS LATER,8
14,      INT COOK KITCHEN  SAME,12
15,      INT NICKY S BATHROOM  SAME,11
16,      INT NICKY S BEDROOM,20
17,      INT HALLWAY,23
18,      EXT NICKY S TOWNHOUSE,32
19,      INT COOK DINING ROOM  SAME,6
20,      EXT THE COOK RESIDENCE  LATER,57
21,      INT THE COOK RESIDENCE,164
22,      INT SMALL ROOMKITCHEN,60
23,      INT COOK KITCHEN  MORNING,143
24,      INT BREAKER ROOM  MOMENTS LATER,62
25,      EXT TOWN OF MANASSAS  DAY,11
26,      INT HEWITT S FUNERAL HOME FRONT,19
27,      INT HEWITT S FUNERAL HOME BACK,11
28,      INT THE COOK RESIDENCE  DAY,13
29,      INT HEWITT S FUNERAL HOME,75
30,      INT HEWITT S FUNERAL HOME FRONT,36
31,      INT THE COOK RESIDENCE UPSTAIRS HALLWAY,54
32,      INT HEWITT S FUNERAL HOME FRONT,20
33,      INT HEWITT S FUNERAL HOME BACK,85
34,      INT THE COOK RESIDENCE  DICK S STUDY,58
35,      INT THE COOK RESIDENCE KITCHEN,59
36,      INT DICK S CAR  NIGHT,5
37,      EXT THE COOK RESIDENCE  SAME,23
38,      INT THE COOK RESIDENCE FRONT HALLWAY,58
39,      INT THE COOK RESIDENCE MEL S ROOM,57
40,      INT HALLWAY,39
