medium,words,freq,type1,type2,perc
tv,HOUSE,4205,residential,domestic,10.199873866
tv,OFFICE,3398,commercial,workplace,8.2423713191
tv,APARTMENT,1750,residential,domestic,4.2448939989
tv,BEDROOM,1454,residential,domestic,3.5269004997
tv,HALLWAY,1243,liminal,liminal,3.0150875661
tv,LIVING,1210,residential,domestic,2.9350409935
tv,KITCHEN,1159,residential,domestic,2.8113326542
tv,CAR,1040,transport,liminal,2.5226798622
tv,HOSPITAL,899,government,workplace,2.1806626886
tv,CORRIDOR,885,liminal,liminal,2.1467035366
film,HOUSE,5490,residential,domestic,7.8303286171
film,OFFICE,4199,commercial,workplace,5.9889890461
film,BEDROOM,3629,residential,domestic,5.1760041077
film,APARTMENT,3567,residential,domestic,5.087574167
film,CAR,2633,transport,liminal,3.7554198996
film,HALLWAY,2134,liminal,liminal,3.0437015062
film,KITCHEN,2114,residential,domestic,3.0151757188
film,LIVING,2055,residential,domestic,2.9310246463
film,CORRIDOR,1447,liminal,liminal,2.063840712
film,HOSPITAL,1176,government,workplace,1.6773162939
